;DateTime,Flow CMS/m
08/07/2016 02:42:05,0
08/07/2016 02:57:05,0
08/07/2016 03:12:05,0
08/07/2016 03:27:05,0
08/07/2016 03:42:05,0
08/07/2016 03:57:05,0
08/07/2016 04:12:05,0
08/07/2016 04:27:05,0
08/07/2016 04:42:05,0
08/07/2016 04:57:05,0
08/07/2016 05:12:05,0
08/07/2016 05:27:05,0
08/07/2016 05:42:05,0
08/07/2016 05:57:05,0
08/07/2016 06:12:05,0
08/07/2016 06:27:05,0
08/07/2016 06:42:05,0
08/07/2016 06:57:05,0
08/07/2016 07:12:05,0
08/07/2016 07:27:05,0
08/07/2016 07:42:05,0
08/07/2016 07:57:05,0
08/07/2016 08:12:05,0
08/07/2016 08:27:05,0
08/07/2016 08:42:05,0
08/07/2016 08:57:05,0
08/07/2016 09:12:05,0
08/07/2016 09:27:05,0
08/07/2016 09:42:05,0
08/07/2016 09:57:05,0
08/07/2016 10:12:05,0
08/07/2016 10:27:05,0
08/07/2016 10:42:05,0
08/07/2016 10:57:05,0
08/07/2016 11:12:05,0
08/07/2016 11:27:05,0
08/07/2016 11:42:05,0
08/07/2016 11:57:05,0
08/07/2016 12:12:05,0
08/07/2016 12:27:05,0
08/07/2016 12:42:05,0
08/07/2016 12:57:05,0
08/07/2016 13:12:05,0
08/07/2016 13:27:05,0
08/07/2016 13:42:05,0
08/07/2016 13:57:05,0
08/07/2016 14:12:05,0
08/07/2016 14:27:05,0
08/07/2016 14:42:05,0
08/07/2016 14:57:05,-7.5179921607892e-05
08/07/2016 15:12:05,-0.000216465040132721
08/07/2016 15:27:05,-0.000332384192038417
08/07/2016 15:42:05,-0.000424045874650361
08/07/2016 15:57:05,-0.000478641607541086
08/07/2016 16:12:05,-0.000516740533678299
08/07/2016 16:27:05,-0.000528732758532594
08/07/2016 16:42:05,-0.000520244167007226
08/07/2016 16:57:05,-0.000511341882069501
08/07/2016 17:12:05,-0.000489923514826438
08/07/2016 17:27:05,-0.000458732484150978
08/07/2016 17:42:05,-0.000427914114369502
08/07/2016 17:57:05,-0.00040745242607305
08/07/2016 18:12:05,-0.000382568455218306
08/07/2016 18:27:05,-0.000346080189699121
08/07/2016 18:42:05,-0.00031522410328912
08/07/2016 18:57:05,-0.000290665925741878
08/07/2016 19:12:05,-0.000264876137630792
08/07/2016 19:27:05,-0.000238485228601875
08/07/2016 19:42:05,-0.000212053324831586
08/07/2016 19:57:05,-0.000193669291714076
08/07/2016 20:12:05,-0.000175823958046744
08/07/2016 20:27:05,-0.000158683585584344
08/07/2016 20:42:05,-0.000142547700555425
08/07/2016 20:57:05,-0.000119885023303876
08/07/2016 21:12:05,-9.83289501793876e-05
08/07/2016 21:27:05,-8.53248837906156e-05
08/07/2016 21:42:05,-7.35672368162384e-05
08/07/2016 21:57:05,-6.28708548173048e-05
08/07/2016 22:12:05,-5.33412222580647e-05
08/07/2016 22:27:05,-3.77361803026057e-05
08/07/2016 22:42:05,-3.01662315699042e-05
08/07/2016 22:57:05,-2.34624454360707e-05
08/07/2016 23:12:05,-1.05628999382554e-05
08/07/2016 23:27:05,-5.1790081910938e-06
08/07/2016 23:42:05,-3.944166178886e-07
08/07/2016 23:57:05,0
08/08/2016 00:12:05,0
08/08/2016 00:27:05,0
08/08/2016 00:42:05,0
08/08/2016 00:57:05,0
08/08/2016 01:12:05,0
08/08/2016 01:27:05,0
08/08/2016 01:42:05,0
08/08/2016 01:57:05,0
08/08/2016 02:12:05,0
08/08/2016 02:27:05,0
08/08/2016 02:42:05,0
08/08/2016 02:57:05,0
08/08/2016 03:12:05,0
08/08/2016 03:27:05,0
08/08/2016 03:42:05,0
08/08/2016 03:57:05,0
08/08/2016 04:12:05,0
08/08/2016 04:27:05,0
08/08/2016 04:42:05,0
08/08/2016 04:57:05,0
08/08/2016 05:12:05,0
08/08/2016 05:27:05,0
08/08/2016 05:42:05,0
08/08/2016 05:57:05,0
08/08/2016 06:12:05,0
08/08/2016 06:27:05,0
08/08/2016 06:42:05,0
08/08/2016 06:57:05,0
08/08/2016 07:12:05,0
08/08/2016 07:27:05,0
08/08/2016 07:42:05,0
08/08/2016 07:57:05,0
08/08/2016 08:12:05,0
08/08/2016 08:27:05,0
08/08/2016 08:42:05,0
08/08/2016 08:57:05,0
08/08/2016 09:12:05,0
08/08/2016 09:27:05,0
08/08/2016 09:42:05,0
08/08/2016 09:57:05,0
08/08/2016 10:12:05,0
08/08/2016 10:27:05,0
08/08/2016 10:42:05,0
08/08/2016 10:57:05,0
08/08/2016 11:12:05,0
08/08/2016 11:27:05,0
08/08/2016 11:42:05,0
08/08/2016 11:57:05,0
08/08/2016 12:12:05,0
08/08/2016 12:27:05,0
08/08/2016 12:42:05,0
08/08/2016 12:57:05,0
08/08/2016 13:12:05,0
08/08/2016 13:27:05,0
08/08/2016 13:42:05,0
08/08/2016 13:57:05,-0.000150715925227859
08/08/2016 14:12:05,-0.000309551706113511
08/08/2016 14:27:05,-0.000434797980981809
08/08/2016 14:42:05,-0.000519269157524047
08/08/2016 14:57:05,-0.000570036224066885
08/08/2016 15:12:05,-0.000597644261744265
08/08/2016 15:27:05,-0.000594112281387098
