;Date	Time	CMS/length
08/08/2016	18:55:12	0.00010582265268298
08/08/2016	19:10:12	0.000104455312961707
08/08/2016	19:25:12	0.000102451824076067
08/08/2016	19:40:12	0.000105053989009148
08/08/2016	19:55:12	0.000103519982610631
08/08/2016	20:10:12	0.000101930420608268
08/08/2016	20:25:12	0.000104944454796258
08/08/2016	20:40:12	0.000103233493608937
08/08/2016	20:55:12	0.000101452573526463
08/08/2016	21:10:12	9.95996369742536e-05
08/08/2016	21:25:12	0.000101751139172898
08/08/2016	21:40:12	9.97438815932057e-05
08/08/2016	21:55:12	9.76522617201335e-05
08/08/2016	22:10:12	0.000100133374020342
08/08/2016	22:25:12	9.84433809858032e-05
08/08/2016	22:40:12	9.60698681648294e-05
08/08/2016	22:55:12	9.76658600660688e-05
08/08/2016	23:10:12	9.97292767127176e-05
08/08/2016	23:25:12	0.00010166301757504
08/08/2016	23:40:12	0.000103448656294002
08/08/2016	23:55:12	0.000105057339954178
08/09/2016	00:10:12	0.000106447916580173
08/09/2016	00:25:12	0.000107575164731214
08/09/2016	00:40:12	0.000112455821655466
08/09/2016	00:55:12	0.000116931128402533
08/09/2016	01:10:12	0.000120902319467007
08/09/2016	01:25:12	0.000124245937929758
08/09/2016	01:40:12	0.000130894451375864
08/09/2016	01:55:12	0.000140675020164005
08/09/2016	02:10:12	0.000149299209400086
08/09/2016	02:25:12	0.000157106919000768
08/09/2016	02:40:12	0.000167332698753386
08/09/2016	02:55:12	0.000179694601617226
08/09/2016	03:10:12	0.000195076023190843
08/09/2016	03:25:12	0.000207973952355288
08/09/2016	03:40:12	0.000218178519528125
08/09/2016	03:55:12	0.000230233555839743
08/09/2016	04:10:12	0.000239484066024722
08/09/2016	04:25:12	0.000246667015940918
08/09/2016	04:40:12	0.000252088997341925
08/09/2016	04:55:12	0.000255613861529359
08/09/2016	05:10:12	0.000257784818525237
08/09/2016	05:25:12	0.000254527078725404
08/09/2016	05:40:12	0.000247009706025017
08/09/2016	05:55:12	0.0002462718201121
08/09/2016	06:10:12	0.00024813992075681
08/09/2016	06:25:12	0.000247184656699605
08/09/2016	06:40:12	0.000247782891518224
08/09/2016	06:55:12	0.000238479132191735
08/09/2016	07:10:12	0.000225219301608226
08/09/2016	07:25:12	0.000219718011722784
08/09/2016	07:40:12	0.000216152865778078
08/09/2016	07:55:12	0.000214486966393921
08/09/2016	08:10:12	0.000208823773105955
08/09/2016	08:25:12	0.000204897204930106
08/09/2016	08:40:12	0.000202600265912224
08/09/2016	08:55:12	0.000195995404018192
08/09/2016	09:10:12	0.000196626447704917
08/09/2016	09:25:12	0.000198549601264895
08/09/2016	09:40:12	0.000189994769890946
08/09/2016	09:55:12	0.000182503653033439
08/09/2016	10:10:12	0.00018180399702144
08/09/2016	10:25:12	0.00018198088347835
08/09/2016	10:40:12	0.000182945835234094
08/09/2016	10:55:12	0.000178784006610606
08/09/2016	11:10:12	0.000169412950163924
08/09/2016	11:25:12	0.000166428004331799
08/09/2016	11:40:12	0.000169777728197954
08/09/2016	11:55:12	0.000167753615056456
08/09/2016	12:10:12	0.00016031671486227
08/09/2016	12:25:12	0.00015908691208281
08/09/2016	12:40:12	0.000158211019050871
08/09/2016	12:55:12	0.00015766853193341
08/09/2016	13:10:12	0.000157436671684274
08/09/2016	13:25:12	0.00015749493479438
08/09/2016	13:40:12	0.000157826860365692
08/09/2016	13:55:12	0.000158409741210765
08/09/2016	14:10:12	0.000153388405871941
08/09/2016	14:25:12	0.000148566658740513
08/09/2016	14:40:12	0.000149752493472613
08/09/2016	14:55:12	0.000151104994560062
08/09/2016	15:10:12	0.000152605569869128
08/09/2016	15:25:12	0.000148407353336554
08/09/2016	15:40:12	0.000144324363243688
08/09/2016	15:55:12	0.000142092133230938
08/09/2016	16:10:12	0.000140531031749233
08/09/2016	16:25:12	0.000133802141596381
08/09/2016	16:40:12	0.000127717690667139
08/09/2016	16:55:12	0.000126345949167168
08/09/2016	17:10:12	0.00012501941537008
08/09/2016	17:25:12	0.000123727860962067
08/09/2016	17:40:12	0.000122463055544035
08/09/2016	17:55:12	0.000121218826177367
08/09/2016	18:10:12	0.000119986942463243
08/09/2016	18:25:12	0.00011876117097979
08/09/2016	18:40:12	0.000117537517673868
08/09/2016	18:55:12	0.000116309809742118
08/09/2016	19:10:12	0.000115069695522108
08/09/2016	19:25:12	0.000113813120351446
08/09/2016	19:40:12	0.000117201232507743
08/09/2016	19:55:12	0.000115901447396747
08/09/2016	20:10:12	0.000110482012845494
08/09/2016	20:25:12	0.000109676401450044
08/09/2016	20:40:12	0.000108236698559641
08/09/2016	20:55:12	0.000106737324806608
08/09/2016	21:10:12	0.000105752700963471
08/09/2016	21:25:12	0.000104694003060861
08/09/2016	21:40:12	0.000102972407037361
08/09/2016	21:55:12	0.000105833776798209
08/09/2016	22:10:12	0.000109197542919741
08/09/2016	22:25:12	0.000107813796331479
08/09/2016	22:40:12	0.000106339522637233
08/09/2016	22:55:12	0.000104766421332063
08/09/2016	23:10:12	0.00010309043931835
08/09/2016	23:25:12	0.000105970665699926
08/09/2016	23:40:12	0.000108153022258445
08/09/2016	23:55:12	0.000106131423785215
08/10/2016	00:10:12	0.000108641397319822
08/10/2016	00:25:12	0.000115089893202056
