;Date	Time	Flow(CMS)
08/05/2016	06:55:26	-2.6507403823993e-06
08/05/2016	07:10:26	2.0408571662757e-06
08/05/2016	07:25:26	6.2441413677531e-06
08/05/2016	07:40:26	5.0919745941192e-06
08/05/2016	07:55:26	8.39731760058656e-06
08/05/2016	08:10:26	1.12895627524217e-05
08/05/2016	08:25:26	8.7510688450145e-06
08/05/2016	08:40:26	5.77109549648092e-06
08/05/2016	08:55:26	6.95793156740021e-06
08/05/2016	09:10:26	1.24376769565993e-05
08/05/2016	09:25:26	1.75625838363636e-05
08/05/2016	09:40:26	2.23907945462441e-05
08/05/2016	09:55:26	1.76505356939421e-05
08/05/2016	10:10:26	1.2602780170088e-05
08/05/2016	10:25:26	1.63478343076214e-05
08/05/2016	10:40:26	1.98196532189675e-05
08/05/2016	10:55:26	2.29908858803519e-05
08/05/2016	11:10:26	2.14437422676789e-05
08/05/2016	11:25:26	1.95285637254463e-05
08/05/2016	11:40:26	2.17383406234604e-05
08/05/2016	11:55:26	2.79054957368121e-05
08/05/2016	12:10:26	2.9258459318759e-05
08/05/2016	12:25:26	2.58783846733139e-05
08/05/2016	12:40:26	3.10953931234496e-05
08/05/2016	12:55:26	3.2073948318965e-05
08/05/2016	13:10:26	2.88526380448679e-05
08/05/2016	13:25:26	2.57133950495805e-05
08/05/2016	13:40:26	2.67930797521769e-05
08/05/2016	13:55:26	3.19353087906158e-05
08/05/2016	14:10:26	3.26122319194008e-05
08/05/2016	14:25:26	2.9693802200404e-05
08/05/2016	14:40:26	3.06380387302053e-05
08/05/2016	14:55:26	3.45500618044888e-05
08/05/2016	15:10:26	3.8149768509127e-05
08/05/2016	15:25:26	3.81721968325514e-05
08/05/2016	15:40:26	3.79292284112985e-05
08/05/2016	15:55:26	4.0715152133829e-05
08/05/2016	16:10:26	3.99663049847508e-05
08/05/2016	16:25:26	3.88583660372783e-05
08/05/2016	16:40:26	4.06324129382729e-05
08/05/2016	16:55:26	4.20112990228739e-05
08/05/2016	17:10:26	4.28799202445333e-05
08/05/2016	17:25:26	4.30966357846332e-05
08/05/2016	17:40:26	4.56591202340177e-05
08/05/2016	17:55:26	5.02243956847398e-05
08/05/2016	18:10:26	5.74484033236531e-05
08/05/2016	18:25:26	7.67619476510264e-05
08/05/2016	18:40:26	0.000104335218132497
08/05/2016	18:55:26	0.000140092222337573
08/05/2016	19:10:26	0.000183386842450147
08/05/2016	19:25:26	0.000221183099078233
08/05/2016	19:40:26	0.000248933150019128
08/05/2016	19:55:26	0.000246695756234604
08/05/2016	20:10:26	0.000188920139652583
08/05/2016	20:25:26	9.69525728205761e-05
08/05/2016	20:40:26	-6.6984696885631e-06
08/05/2016	20:55:26	-0.000108457412739507
08/05/2016	21:10:26	-0.00019943116469611
08/05/2016	21:25:26	-0.000271011380579179
08/05/2016	21:40:26	-0.000318616110790213
08/05/2016	21:55:26	-0.000351948802692765
08/05/2016	22:10:26	-0.000361299134092082
08/05/2016	22:25:26	-0.000363369954085065
08/05/2016	22:40:26	-0.000367815701835967
08/05/2016	22:55:26	-0.000363506321782405
08/05/2016	23:10:26	-0.000352261449810385
08/05/2016	23:25:26	-0.000335490189000751
