DateTime (CDT),HWY 183 Temp (C)
08/04/2016 03:15:00,28.85
08/04/2016 03:30:00,28.77222222
08/04/2016 03:45:00,28.73888889
08/04/2016 04:00:00,28.68888889
08/04/2016 04:15:00,28.57777778
08/04/2016 04:30:00,28.62222222
08/04/2016 04:45:00,28.62222222
08/04/2016 05:00:00,28.57222222
08/04/2016 05:15:00,28.53888889
08/04/2016 05:30:00,28.5
08/04/2016 05:45:00,28.47777778
08/04/2016 06:00:00,28.43888889
08/04/2016 06:15:00,28.42222222
08/04/2016 06:30:00,28.4
08/04/2016 06:45:00,28.33888889
08/04/2016 07:00:00,28.4
08/04/2016 07:15:00,28.33888889
08/04/2016 07:30:00,28.37222222
08/04/2016 07:45:00,28.42222222
08/04/2016 08:00:00,28.47777778
08/04/2016 08:15:00,28.52777778
08/04/2016 08:30:00,28.63888889
08/04/2016 08:45:00,28.68888889
08/04/2016 09:00:00,28.78888889
08/04/2016 09:15:00,29.01111111
08/04/2016 09:30:00,29.11111111
08/04/2016 09:45:00,29.33888889
08/04/2016 10:00:00,29.47222222
08/04/2016 10:15:00,29.7
08/04/2016 10:30:00,29.92222222
08/04/2016 10:45:00,30.12222222
08/04/2016 11:00:00,30.38888889
08/04/2016 11:15:00,30.63888889
08/04/2016 11:30:00,30.81111111
08/04/2016 11:45:00,30.98888889
08/04/2016 12:00:00,31.37222222
08/04/2016 12:15:00,31.41111111
08/04/2016 12:30:00,31.72222222
08/04/2016 12:45:00,31.83888889
08/04/2016 13:00:00,32.28888889
08/04/2016 13:15:00,32.5
08/04/2016 13:30:00,32.68888889
08/04/2016 13:45:00,33.01111111
08/04/2016 14:00:00,33.1
08/04/2016 14:15:00,33.05
08/04/2016 14:30:00,33.06111111
08/04/2016 14:45:00,32.98888889
08/04/2016 15:00:00,32.86111111
08/04/2016 15:15:00,32.75
08/04/2016 15:30:00,32.38888889
08/04/2016 15:45:00,31.85
08/04/2016 16:00:00,31.08888889
08/04/2016 16:15:00,30.55
08/04/2016 16:30:00,30.42222222
08/04/2016 16:45:00,30.36111111
08/04/2016 17:00:00,30.3
08/04/2016 17:15:00,30.27777778
08/04/2016 17:30:00,30.23888889
08/04/2016 17:45:00,30.27222222
08/04/2016 18:00:00,30.31111111
08/04/2016 18:15:00,30.37777778
08/04/2016 18:30:00,30.42222222
08/04/2016 18:45:00,30.47222222
08/04/2016 19:00:00,30.47777778
08/04/2016 19:15:00,30.5
08/04/2016 19:30:00,30.51111111
08/04/2016 19:45:00,30.5
08/04/2016 20:00:00,30.5
08/04/2016 20:15:00,30.47222222
08/04/2016 20:30:00,30.42777778
08/04/2016 20:45:00,30.38888889
08/04/2016 21:00:00,30.32222222
08/04/2016 21:15:00,30.27222222
08/04/2016 21:30:00,30.22222222
08/04/2016 21:45:00,30.17777778
08/04/2016 22:00:00,30.11111111
08/04/2016 22:15:00,30.02777778
08/04/2016 22:30:00,29.96111111
08/04/2016 22:45:00,29.92222222
08/04/2016 23:00:00,29.87222222
08/04/2016 23:15:00,29.78888889
08/04/2016 23:30:00,29.73888889
08/04/2016 23:45:00,29.7
08/05/2016 00:00:00,29.62222222
08/05/2016 00:15:00,29.55
08/05/2016 00:30:00,29.52777778
08/05/2016 00:45:00,29.46111111
08/05/2016 01:00:00,29.37777778
08/05/2016 01:15:00,29.35
08/05/2016 01:30:00,29.27222222
08/05/2016 01:45:00,29.18888889
08/05/2016 02:00:00,29.12777778
08/05/2016 02:15:00,29.07222222
08/05/2016 02:30:00,29.02222222
08/05/2016 02:45:00,28.97777778
08/05/2016 03:00:00,28.92777778
08/05/2016 03:15:00,28.88888889
08/05/2016 03:30:00,28.88888889
08/05/2016 03:45:00,28.81111111
08/05/2016 04:00:00,28.78888889
08/05/2016 04:15:00,28.73888889
08/05/2016 04:30:00,28.72222222
08/05/2016 04:45:00,28.66111111
08/05/2016 05:00:00,28.66111111
08/05/2016 05:15:00,28.67777778
08/05/2016 05:30:00,28.68888889
08/05/2016 05:45:00,28.56111111
08/05/2016 06:00:00,28.63888889
08/05/2016 06:15:00,28.61111111
08/05/2016 06:30:00,28.62222222
08/05/2016 06:45:00,28.62222222
08/05/2016 07:00:00,28.62222222
08/05/2016 07:15:00,28.61111111
08/05/2016 07:30:00,28.63888889
08/05/2016 07:45:00,28.68888889
08/05/2016 08:00:00,28.68888889
08/05/2016 08:15:00,28.72777778
08/05/2016 08:30:00,28.78888889
08/05/2016 08:45:00,28.93888889
08/05/2016 09:00:00,29.08888889
08/05/2016 09:15:00,29.18888889
08/05/2016 09:30:00,29.21111111
08/05/2016 09:45:00,29.25
08/05/2016 10:00:00,29.37222222
08/05/2016 10:15:00,29.5
08/05/2016 10:30:00,29.71111111
08/05/2016 10:45:00,29.82777778
08/05/2016 11:00:00,30.15
08/05/2016 11:15:00,30.42777778
08/05/2016 11:30:00,30.58888889
08/05/2016 11:45:00,30.68888889
08/05/2016 12:00:00,30.82777778
