;Date	Time	CMS/Length
8/4/2016	2:30	-0.000481543
8/4/2016	2:45	-0.000822759
8/4/2016	3:00	-0.001193078
8/4/2016	3:15	-0.001470475
8/4/2016	3:30	-0.001630895
8/4/2016	3:45	-0.001612477
8/4/2016	4:00	-0.001452697
8/4/2016	4:15	-0.001252223
8/4/2016	4:30	-0.00105175
8/4/2016	4:45	-0.000873552
8/4/2016	5:00	-0.000728765
8/4/2016	5:15	-0.000618463
8/4/2016	5:30	-0.000512304
8/4/2016	5:45	-0.00042864
8/4/2016	6:00	-0.000355793
8/4/2016	6:15	-0.000290918
8/4/2016	6:30	-0.00024281
8/4/2016	6:45	-0.000210492
8/4/2016	7:00	-0.000177843
8/4/2016	7:15	-0.000149877
8/4/2016	7:30	-0.000132792
8/4/2016	7:45	-0.000114437
8/4/2016	8:00	-0.000104603
8/4/2016	8:15	-9.0013E-05
8/4/2016	8:30	-8.03931E-05
8/4/2016	8:45	-7.74472E-05
8/4/2016	9:00	-7.6275E-05
8/4/2016	9:15	-6.43023E-05
8/4/2016	9:30	-6.5469E-05
8/4/2016	9:45	-6.75823E-05
8/4/2016	10:00	-6.48091E-05
8/4/2016	10:15	-6.72287E-05
8/4/2016	10:30	-6.08247E-05
8/4/2016	10:45	-6.55748E-05
8/4/2016	11:00	-7.04362E-05
8/4/2016	11:15	-7.01634E-05
8/4/2016	11:30	-7.09625E-05
8/4/2016	11:45	-7.25551E-05
8/4/2016	12:00	-7.89647E-05
8/4/2016	12:15	-7.98752E-05
8/4/2016	12:30	-8.27013E-05
8/4/2016	12:45	-8.90635E-05
8/4/2016	13:00	-9.17727E-05
8/4/2016	13:15	-9.49886E-05
8/4/2016	13:30	-9.76143E-05
8/4/2016	13:45	-0.000100763
8/4/2016	14:00	-0.000108607
8/4/2016	14:15	-0.000112188
8/4/2016	14:30	-0.000111074
8/4/2016	14:45	-0.000114621
8/4/2016	15:00	-0.000118135
8/4/2016	15:15	-0.000121607
8/4/2016	15:30	-0.000125037
8/4/2016	15:45	-0.000129548
8/4/2016	16:00	-0.000132346
8/4/2016	16:15	-0.000136782
8/4/2016	16:30	-0.000141175
8/4/2016	16:45	-0.000145536
8/4/2016	17:00	-0.000148192
8/4/2016	17:15	-0.000152477
8/4/2016	17:30	-0.000156729
8/4/2016	17:45	-0.000160939
8/4/2016	18:00	-0.000160939
8/4/2016	18:15	-0.000164238
8/4/2016	18:30	-0.000167521
8/4/2016	18:45	-0.000167521
8/4/2016	19:00	-0.000170779
8/4/2016	19:15	-0.000171336
8/4/2016	19:30	-0.000174577
8/4/2016	19:45	-0.00017569
8/4/2016	20:00	-0.000178915
8/4/2016	20:15	-0.000178915
8/4/2016	20:30	-0.000178358
8/4/2016	20:45	-0.000182114
8/4/2016	21:00	-0.000182114
8/4/2016	21:15	-0.000182114
8/4/2016	21:30	-0.000185853
8/4/2016	21:45	-0.000186967
8/4/2016	22:00	-0.000190133
8/4/2016	22:15	-0.000188637
8/4/2016	22:30	-0.000188081
8/4/2016	22:45	-0.000191803
8/4/2016	23:00	-0.000192917
8/4/2016	23:15	-0.000194588
8/4/2016	23:30	-0.000196258
8/4/2016	23:45	-0.000199599
8/5/2016	0:00	-0.000195479
8/5/2016	0:15	-0.00019882
8/5/2016	0:30	-0.000196851
8/5/2016	0:45	-0.000195086
8/5/2016	1:00	-0.000190141
8/5/2016	1:15	-0.000178486
8/5/2016	1:30	-0.000169309
8/5/2016	1:45	-0.000167245
8/5/2016	2:00	-0.000156921
8/5/2016	2:15	-0.000158951
8/5/2016	2:30	-0.000168696
8/5/2016	2:45	-0.000201749
8/5/2016	3:00	-0.000280098
8/5/2016	3:15	-0.000416829
8/5/2016	3:30	-0.00059437
8/5/2016	3:45	-0.000778438
8/5/2016	4:00	-0.000920368
8/5/2016	4:15	-0.001042879
8/5/2016	4:30	-0.001101103
8/5/2016	4:45	-0.001089965
8/5/2016	5:00	-0.000997895
8/5/2016	5:15	-0.00087794
8/5/2016	5:30	-0.000772363
8/5/2016	5:45	-0.000658533
8/5/2016	6:00	-0.000556634
8/5/2016	6:15	-0.000477837
8/5/2016	6:30	-0.000417965
8/5/2016	6:45	-0.000359494
8/5/2016	7:00	-0.000311324
8/5/2016	7:15	-0.000274242
8/5/2016	7:30	-0.000238881
8/5/2016	7:45	-0.000211781
8/5/2016	8:00	-0.000187
8/5/2016	8:15	-0.000174719
8/5/2016	8:30	-0.00015495
8/5/2016	8:45	-0.000143038
8/5/2016	9:00	-0.000133026
8/5/2016	9:15	-0.000124929
8/5/2016	9:30	-0.000117904
8/5/2016	9:45	-0.000113335
8/5/2016	10:00	-0.000113546
8/5/2016	10:15	-0.000111088
8/5/2016	10:30	-0.000107195
8/5/2016	10:45	-0.000100791
8/5/2016	11:00	-9.93629E-05
8/5/2016	11:15	-9.76143E-05
8/5/2016	11:30	-9.78983E-05
8/5/2016	11:45	-9.79735E-05
8/5/2016	12:00	-9.94074E-05
8/5/2016	12:15	-0.000100243
8/5/2016	12:30	-0.000107365
8/5/2016	12:45	-0.000104581
8/5/2016	13:00	-0.000111814
8/5/2016	13:15	-0.000114407
8/5/2016	13:30	-0.00012225
8/5/2016	13:45	-0.000121136
8/5/2016	14:00	-0.000123325
8/5/2016	14:15	-0.000122211
8/5/2016	14:30	-0.000126315
8/5/2016	14:45	-0.000133858
8/5/2016	15:00	-0.000138402
8/5/2016	15:15	-0.000137845
8/5/2016	15:30	-0.000141242
8/5/2016	15:45	-0.000141799
8/5/2016	16:00	-0.000151817
8/5/2016	16:15	-0.000150147
8/5/2016	16:30	-0.00015454
8/5/2016	16:45	-0.000150147
8/5/2016	17:00	-0.000157787
8/5/2016	17:15	-0.00015723
8/5/2016	17:30	-0.00015723
8/5/2016	17:45	-0.000161557
8/5/2016	18:00	-0.000165842
8/5/2016	18:15	-0.000170094
8/5/2016	18:30	-0.000170094
8/5/2016	18:45	-0.000170094
8/5/2016	19:00	-0.000172633
8/5/2016	19:15	-0.000175376
8/5/2016	19:30	-0.000176489
8/5/2016	19:45	-0.000177603
8/5/2016	20:00	-0.000179831
8/5/2016	20:15	-0.000185341
8/5/2016	20:30	-0.000189239
8/5/2016	20:45	-0.000192859
8/5/2016	21:00	-0.00020085
8/5/2016	21:15	-0.000206418
8/5/2016	21:30	-0.000212544
8/5/2016	21:45	-0.00022034
8/5/2016	22:00	-0.000227023
8/5/2016	22:15	-0.000233983
8/5/2016	22:30	-0.000239079
8/5/2016	22:45	-0.000242757
8/5/2016	23:00	-0.000243879
8/5/2016	23:15	-0.000234173
8/5/2016	23:30	-0.000223603
8/5/2016	23:45	-0.000200766
8/6/2016	0:00	-0.000175699
8/6/2016	0:15	-0.000145862
8/6/2016	0:30	-0.000109336
8/6/2016	0:45	-7.59966E-05
8/6/2016	1:00	-5.50555E-05
8/6/2016	1:15	-3.00492E-05
8/6/2016	1:30	-2.02483E-05
8/6/2016	1:45	-1.78343E-05
8/6/2016	2:00	-5.11852E-05
8/6/2016	2:15	-0.000129735
8/6/2016	2:30	-0.00028462
8/6/2016	2:45	-0.000529127
8/6/2016	3:00	-0.000801649
8/6/2016	3:15	-0.001113496
8/6/2016	3:30	-0.001344597
8/6/2016	3:45	-0.001503305
8/6/2016	4:00	-0.001531148
8/6/2016	4:15	-0.001422559
8/6/2016	4:30	-0.001249929
8/6/2016	4:45	-0.001061757
8/6/2016	5:00	-0.000890258
8/6/2016	5:15	-0.000749328
8/6/2016	5:30	-0.000636208
8/6/2016	5:45	-0.000532496
8/6/2016	6:00	-0.000444892
8/6/2016	6:15	-0.000369776
8/6/2016	6:30	-0.000309645
8/6/2016	6:45	-0.00026555
8/6/2016	7:00	-0.000224497
8/6/2016	7:15	-0.000197946
8/6/2016	7:30	-0.000168454
8/6/2016	7:45	-0.000145037
8/6/2016	8:00	-0.0001315
8/6/2016	8:15	-0.00011659
8/6/2016	8:30	-0.000109467
8/6/2016	8:45	-9.88784E-05
8/6/2016	9:00	-9.48383E-05
8/6/2016	9:15	-9.25802E-05
8/6/2016	9:30	-8.62374E-05
8/6/2016	9:45	-8.70616E-05
8/6/2016	10:00	-7.73164E-05
8/6/2016	10:15	-7.93657E-05
8/6/2016	10:30	-8.18047E-05
8/6/2016	10:45	-8.57557E-05
8/6/2016	11:00	-8.48842E-05
8/6/2016	11:15	-8.3971E-05
8/6/2016	11:30	-8.41297E-05
8/6/2016	11:45	-8.96204E-05
8/6/2016	12:00	-9.60662E-05
8/6/2016	12:15	-9.21681E-05
8/6/2016	12:30	-9.81767E-05
8/6/2016	12:45	-0.000100279
8/6/2016	13:00	-0.000106889
8/6/2016	13:15	-0.000109439
8/6/2016	13:30	-0.000111391
8/6/2016	13:45	-0.000113858
8/6/2016	14:00	-0.000117405
8/6/2016	14:15	-0.000119806
8/6/2016	14:30	-0.000123278
8/6/2016	14:45	-0.000126151
8/6/2016	15:00	-0.000134017
8/6/2016	15:15	-0.000137895
8/6/2016	15:30	-0.000136782
8/6/2016	15:45	-0.000140062
8/6/2016	16:00	-0.000143865
8/6/2016	16:15	-0.000142751
8/6/2016	16:30	-0.000150807
8/6/2016	16:45	-0.000150807
8/6/2016	17:00	-0.000150807
8/6/2016	17:15	-0.000153388
8/6/2016	17:30	-0.000157598
8/6/2016	17:45	-0.000157598
8/6/2016	18:00	-0.000160897
8/6/2016	18:15	-0.000160897
8/6/2016	18:30	-0.00016418
8/6/2016	18:45	-0.00016418
8/6/2016	19:00	-0.000167437
8/6/2016	19:15	-0.000170678
8/6/2016	19:30	-0.000170678
8/6/2016	19:45	-0.000170678
8/6/2016	20:00	-0.00017446
8/6/2016	20:15	-0.000175573
8/6/2016	20:30	-0.000175573
8/6/2016	20:45	-0.000169108
8/6/2016	21:00	-0.000159268
8/6/2016	21:15	-0.000133441
8/6/2016	21:30	-0.000106268
8/6/2016	21:45	-6.29324E-05
8/6/2016	22:00	-1.80431E-05
8/6/2016	22:15	3.18497E-05
8/6/2016	22:30	7.74323E-05
8/6/2016	22:45	0.000119423
8/6/2016	23:00	0.000147512
8/6/2016	23:15	0.000173968
8/6/2016	23:30	0.000181386
8/6/2016	23:45	0.000168625
8/7/2016	0:00	9.08696E-05
8/7/2016	0:15	-7.78927E-05
8/7/2016	0:30	-0.000351219
8/7/2016	0:45	-0.000709723
8/7/2016	1:00	-0.001082826
8/7/2016	1:15	-0.001387264
8/7/2016	1:30	-0.001651778
8/7/2016	1:45	-0.001828085
8/7/2016	2:00	-0.001936675
8/7/2016	2:15	-0.001903263
8/7/2016	2:30	-0.001735308
8/7/2016	2:45	-0.001511616
8/7/2016	3:00	-0.001280515
8/7/2016	3:15	-0.001080788
8/7/2016	3:30	-0.000887582
8/7/2016	3:45	-0.000738867
8/7/2016	4:00	-0.000619502
8/7/2016	4:15	-0.000524725
8/7/2016	4:30	-0.000427009
8/7/2016	4:45	-0.000345678
8/7/2016	5:00	-0.000289776
8/7/2016	5:15	-0.00023559
8/7/2016	5:30	-0.000200574
8/7/2016	5:45	-0.000166563
8/7/2016	6:00	-0.000144636
8/7/2016	6:15	-0.000124475
8/7/2016	6:30	-0.000112204
8/7/2016	6:45	-9.65395E-05
8/7/2016	7:00	-8.95619E-05
8/7/2016	7:15	-8.46448E-05
8/7/2016	7:30	-7.59855E-05
8/7/2016	7:45	-7.35853E-05
8/7/2016	8:00	-6.75851E-05
8/7/2016	8:15	-6.7702E-05
8/7/2016	8:30	-6.43524E-05
8/7/2016	8:45	-6.17964E-05
8/7/2016	9:00	-6.63043E-05
8/7/2016	9:15	-6.50151E-05
8/7/2016	9:30	-6.36842E-05
8/7/2016	9:45	-7.03555E-05
8/7/2016	10:00	-7.16836E-05
8/7/2016	10:15	-7.1291E-05
8/7/2016	10:30	-7.44847E-05
8/7/2016	10:45	-8.10168E-05
8/7/2016	11:00	-7.76756E-05
8/7/2016	11:15	-8.54411E-05
8/7/2016	11:30	-8.89828E-05
