;Date	Time	CMS
8/2/2016	1:20	1.472956501
8/2/2016	1:25	1.480991861
8/2/2016	1:30	1.48902722
8/2/2016	1:35	1.497062579
8/2/2016	1:40	1.505097938
8/2/2016	1:45	1.513133298
8/2/2016	1:50	1.521168657
8/2/2016	1:55	1.529204016
8/2/2016	2:00	1.537239375
8/2/2016	2:05	1.545274735
8/2/2016	2:10	1.553310094
8/2/2016	2:15	1.561345453
8/2/2016	2:20	1.569380812
8/2/2016	2:25	1.577416172
8/2/2016	2:30	1.585451531
8/2/2016	2:35	1.59348689
8/2/2016	2:40	1.601522249
8/2/2016	2:45	1.609557609
8/2/2016	2:50	1.617592968
8/2/2016	2:55	1.625628327
8/2/2016	3:00	1.633663686
8/2/2016	3:05	1.641699046
8/2/2016	3:10	1.649734405
8/2/2016	3:15	1.657769764
8/2/2016	3:20	1.665805123
8/2/2016	3:25	1.673840483
8/2/2016	3:30	1.681875842
8/2/2016	3:35	1.689911201
8/2/2016	3:40	1.69794656
8/2/2016	3:45	1.70598192
8/2/2016	3:50	1.714017279
8/2/2016	3:55	1.722052638
8/2/2016	4:00	1.730087997
8/2/2016	4:05	1.738123356
8/2/2016	4:10	1.746158716
8/2/2016	4:15	1.754194075
8/2/2016	4:20	1.762229434
8/2/2016	4:25	1.770264793
8/2/2016	4:30	1.778300153
8/2/2016	4:35	1.786335512
8/2/2016	4:40	1.794370871
8/2/2016	4:45	1.80240623
8/2/2016	4:50	1.81044159
8/2/2016	4:55	1.818476949
8/2/2016	5:00	1.826512308
8/2/2016	5:05	1.834547667
8/2/2016	5:10	1.842583027
8/2/2016	5:15	1.850618386
8/2/2016	5:20	1.858653745
8/2/2016	5:25	1.866689104
8/2/2016	5:30	1.874724464
8/2/2016	5:35	1.882759823
8/2/2016	5:40	1.890795182
8/2/2016	5:45	1.898830541
8/2/2016	5:50	1.906865901
8/2/2016	5:55	1.91490126
8/2/2016	6:00	1.922936619
8/2/2016	6:05	1.930971978
8/2/2016	6:10	1.939007338
8/2/2016	6:15	1.947042697
8/2/2016	6:20	1.955078056
8/2/2016	6:25	1.963113415
8/2/2016	6:30	1.971148775
8/2/2016	6:35	1.979184134
8/2/2016	6:40	1.987219493
8/2/2016	6:45	1.995254852
8/2/2016	6:50	2.003290212
8/2/2016	6:55	2.011325571
8/2/2016	7:00	2.01936093
8/2/2016	7:05	2.027396289
8/2/2016	7:10	2.035431649
8/2/2016	7:15	2.043467008
8/2/2016	7:20	2.051502367
8/2/2016	7:25	2.059537726
8/2/2016	7:30	2.067573086
8/2/2016	7:35	2.075608445
8/2/2016	7:40	2.083643804
8/2/2016	7:45	2.091679163
8/2/2016	7:50	2.099714523
8/2/2016	7:55	2.107749882
8/2/2016	8:00	2.115785241
8/2/2016	8:05	2.1238206
8/2/2016	8:10	2.13185596
8/2/2016	8:15	2.139891319
8/2/2016	8:20	2.147926678
8/2/2016	8:25	2.155962037
8/2/2016	8:30	2.163997397
8/2/2016	8:35	2.172032756
8/2/2016	8:40	2.180068115
8/2/2016	8:45	2.188103474
8/2/2016	8:50	2.196138834
8/2/2016	8:55	2.204174193
8/2/2016	9:00	2.212209552
8/2/2016	9:05	2.220244911
8/2/2016	9:10	2.228280271
8/2/2016	9:15	2.23631563
8/2/2016	9:20	2.244350989
8/2/2016	9:25	2.252386348
8/2/2016	9:30	2.260421708
8/2/2016	9:35	2.268457067
8/2/2016	9:40	2.276492426
8/2/2016	9:45	2.284527785
8/2/2016	9:50	2.292563145
8/2/2016	9:55	2.300598504
8/2/2016	10:00	2.308633863
8/2/2016	10:05	2.316669222
8/2/2016	10:10	2.324704582
8/2/2016	10:15	2.332739941
8/2/2016	10:20	2.3407753
8/2/2016	10:25	2.348810659
8/2/2016	10:30	2.356846019
8/2/2016	10:35	2.364881378
8/2/2016	10:40	2.372916737
8/2/2016	10:45	2.380952096
8/2/2016	10:50	2.388987456
8/2/2016	10:55	2.397022815
8/2/2016	11:00	2.405058174
8/2/2016	11:05	2.413093533
8/2/2016	11:10	2.421128893
8/2/2016	11:15	2.429164252
8/2/2016	11:20	2.437199611
8/2/2016	11:25	2.44523497
8/2/2016	11:30	2.45327033
8/2/2016	11:35	2.461305689
8/2/2016	11:40	2.469341048
8/2/2016	11:45	2.477376407
8/2/2016	11:50	2.485411767
8/2/2016	11:55	2.493447126
8/2/2016	12:00	2.501482485
8/2/2016	12:05	2.493447126
8/2/2016	12:10	2.485411767
8/2/2016	12:15	2.477376407
8/2/2016	12:20	2.469341048
8/2/2016	12:25	2.461305689
8/2/2016	12:30	2.45327033
8/2/2016	12:35	2.44523497
8/2/2016	12:40	2.437199611
8/2/2016	12:45	2.429164252
8/2/2016	12:50	2.421128893
8/2/2016	12:55	2.413093533
8/2/2016	13:00	2.405058174
8/2/2016	13:05	2.397022815
8/2/2016	13:10	2.388987456
8/2/2016	13:15	2.380952096
8/2/2016	13:20	2.372916737
8/2/2016	13:25	2.364881378
8/2/2016	13:30	2.356846019
8/2/2016	13:35	2.348810659
8/2/2016	13:40	2.3407753
8/2/2016	13:45	2.332739941
8/2/2016	13:50	2.324704582
8/2/2016	13:55	2.316669222
8/2/2016	14:00	2.308633863
8/2/2016	14:05	2.300598504
8/2/2016	14:10	2.292563145
8/2/2016	14:15	2.284527785
8/2/2016	14:20	2.276492426
8/2/2016	14:25	2.268457067
8/2/2016	14:30	2.260421708
8/2/2016	14:35	2.252386348
8/2/2016	14:40	2.244350989
8/2/2016	14:45	2.23631563
8/2/2016	14:50	2.228280271
8/2/2016	14:55	2.220244911
8/2/2016	15:00	2.212209552
8/2/2016	15:05	2.204174193
8/2/2016	15:10	2.196138834
8/2/2016	15:15	2.188103474
8/2/2016	15:20	2.180068115
8/2/2016	15:25	2.172032756
8/2/2016	15:30	2.163997397
8/2/2016	15:35	2.155962037
8/2/2016	15:40	2.147926678
8/2/2016	15:45	2.139891319
8/2/2016	15:50	2.13185596
8/2/2016	15:55	2.1238206
8/2/2016	16:00	2.115785241
8/2/2016	16:05	2.107749882
8/2/2016	16:10	2.099714523
8/2/2016	16:15	2.091679163
8/2/2016	16:20	2.083643804
8/2/2016	16:25	2.075608445
8/2/2016	16:30	2.067573086
8/2/2016	16:35	2.059537726
8/2/2016	16:40	2.051502367
8/2/2016	16:45	2.043467008
8/2/2016	16:50	2.035431649
8/2/2016	16:55	2.027396289
8/2/2016	17:00	2.01936093
8/2/2016	17:05	2.011325571
8/2/2016	17:10	2.003290212
8/2/2016	17:15	1.995254852
8/2/2016	17:20	1.987219493
8/2/2016	17:25	1.979184134
8/2/2016	17:30	1.971148775
8/2/2016	17:35	1.963113415
8/2/2016	17:40	1.955078056
8/2/2016	17:45	1.947042697
8/2/2016	17:50	1.939007338
8/2/2016	17:55	1.930971978
8/2/2016	18:00	1.922936619
8/2/2016	18:05	1.91490126
8/2/2016	18:10	1.906865901
8/2/2016	18:15	1.898830541
8/2/2016	18:20	1.890795182
8/2/2016	18:25	1.882759823
8/2/2016	18:30	1.874724464
8/2/2016	18:35	1.866689104
8/2/2016	18:40	1.858653745
8/2/2016	18:45	1.850618386
8/2/2016	18:50	1.842583027
8/2/2016	18:55	1.834547667
8/2/2016	19:00	1.826512308
8/2/2016	19:05	1.818476949
8/2/2016	19:10	1.81044159
8/2/2016	19:15	1.80240623
8/2/2016	19:20	1.794370871
8/2/2016	19:25	1.786335512
8/2/2016	19:30	1.778300153
8/2/2016	19:35	1.770264793
8/2/2016	19:40	1.762229434
8/2/2016	19:45	1.754194075
8/2/2016	19:50	1.746158716
8/2/2016	19:55	1.738123356
8/2/2016	20:00	1.730087997
8/2/2016	20:05	1.722052638
8/2/2016	20:10	1.714017279
8/2/2016	20:15	1.70598192
8/2/2016	20:20	1.69794656
8/2/2016	20:25	1.689911201
8/2/2016	20:30	1.681875842
8/2/2016	20:35	1.673840483
8/2/2016	20:40	1.665805123
8/2/2016	20:45	1.657769764
8/2/2016	20:50	1.649734405
8/2/2016	20:55	1.641699046
8/2/2016	21:00	1.633663686
8/2/2016	21:05	1.625628327
8/2/2016	21:10	1.617592968
8/2/2016	21:15	1.609557609
8/2/2016	21:20	1.601522249
8/2/2016	21:25	1.59348689
8/2/2016	21:30	1.585451531
8/2/2016	21:35	1.577416172
8/2/2016	21:40	1.569380812
8/2/2016	21:45	1.561345453
8/2/2016	21:50	1.553310094
8/2/2016	21:55	1.545274735
8/2/2016	22:00	1.537239375
8/2/2016	22:05	1.529204016
8/2/2016	22:10	1.521168657
8/2/2016	22:15	1.513133298
8/2/2016	22:20	1.505097938
8/2/2016	22:25	1.497062579
8/2/2016	22:30	1.48902722
8/2/2016	22:35	1.480991861
8/2/2016	22:40	1.472956501
8/2/2016	22:45	1.464921142
8/2/2016	22:50	1.456885783
8/2/2016	22:55	1.448850424
8/2/2016	23:00	1.440815064
8/2/2016	23:05	1.432779705
8/2/2016	23:10	1.424744346
8/2/2016	23:15	1.416708987
8/2/2016	23:20	1.408673627
8/2/2016	23:25	1.400638268
8/2/2016	23:30	1.392602909
8/2/2016	23:35	1.38456755
8/2/2016	23:40	1.37653219
8/2/2016	23:45	1.368496831
8/2/2016	23:50	1.360461472
8/2/2016	23:55	1.352426113
8/3/2016	0:00	1.291477849
8/3/2016	0:05	1.301543625
8/3/2016	0:10	1.311609401
8/3/2016	0:15	1.321675177
8/3/2016	0:20	1.331740953
8/3/2016	0:25	1.341806729
8/3/2016	0:30	1.351872505
8/3/2016	0:35	1.361938281
8/3/2016	0:40	1.372004057
8/3/2016	0:45	1.382069833
8/3/2016	0:50	1.392135609
8/3/2016	0:55	1.402201385
8/3/2016	1:00	1.412267161
8/3/2016	1:05	1.422332937
8/3/2016	1:10	1.432398713
8/3/2016	1:15	1.442464489
8/3/2016	1:20	1.452530265
8/3/2016	1:25	1.462596041
8/3/2016	1:30	1.472661817
8/3/2016	1:35	1.482727593
8/3/2016	1:40	1.492793369
8/3/2016	1:45	1.502859145
8/3/2016	1:50	1.512924922
8/3/2016	1:55	1.522990698
8/3/2016	2:00	1.533056474
8/3/2016	2:05	1.54312225
8/3/2016	2:10	1.553188026
8/3/2016	2:15	1.563253802
8/3/2016	2:20	1.573319578
8/3/2016	2:25	1.583385354
8/3/2016	2:30	1.59345113
8/3/2016	2:35	1.603516906
8/3/2016	2:40	1.613582682
8/3/2016	2:45	1.623648458
8/3/2016	2:50	1.633714234
8/3/2016	2:55	1.64378001
8/3/2016	3:00	1.653845786
8/3/2016	3:05	1.663911562
8/3/2016	3:10	1.673977338
8/3/2016	3:15	1.684043114
8/3/2016	3:20	1.69410889
8/3/2016	3:25	1.704174666
8/3/2016	3:30	1.714240442
8/3/2016	3:35	1.724306218
8/3/2016	3:40	1.734371994
8/3/2016	3:45	1.74443777
8/3/2016	3:50	1.754503546
8/3/2016	3:55	1.764569322
8/3/2016	4:00	1.774635098
8/3/2016	4:05	1.784700874
8/3/2016	4:10	1.79476665
8/3/2016	4:15	1.804832426
8/3/2016	4:20	1.814898202
8/3/2016	4:25	1.824963978
8/3/2016	4:30	1.835029754
8/3/2016	4:35	1.84509553
8/3/2016	4:40	1.855161306
8/3/2016	4:45	1.865227082
8/3/2016	4:50	1.875292858
8/3/2016	4:55	1.885358634
8/3/2016	5:00	1.89542441
8/3/2016	5:05	1.905490186
8/3/2016	5:10	1.915555962
8/3/2016	5:15	1.925621738
8/3/2016	5:20	1.935687514
8/3/2016	5:25	1.94575329
8/3/2016	5:30	1.955819066
8/3/2016	5:35	1.965884842
8/3/2016	5:40	1.975950618
8/3/2016	5:45	1.986016394
8/3/2016	5:50	1.99608217
8/3/2016	5:55	2.006147946
8/3/2016	6:00	2.016213723
8/3/2016	6:05	2.026279499
8/3/2016	6:10	2.036345275
8/3/2016	6:15	2.046411051
8/3/2016	6:20	2.056476827
8/3/2016	6:25	2.066542603
8/3/2016	6:30	2.076608379
8/3/2016	6:35	2.086674155
8/3/2016	6:40	2.096739931
8/3/2016	6:45	2.106805707
8/3/2016	6:50	2.116871483
8/3/2016	6:55	2.126937259
8/3/2016	7:00	2.137003035
8/3/2016	7:05	2.147068811
8/3/2016	7:10	2.157134587
8/3/2016	7:15	2.167200363
8/3/2016	7:20	2.177266139
8/3/2016	7:25	2.187331915
8/3/2016	7:30	2.197397691
8/3/2016	7:35	2.207463467
8/3/2016	7:40	2.217529243
8/3/2016	7:45	2.227595019
8/3/2016	7:50	2.237660795
8/3/2016	7:55	2.247726571
8/3/2016	8:00	2.257792347
8/3/2016	8:05	2.267858123
8/3/2016	8:10	2.277923899
8/3/2016	8:15	2.287989675
8/3/2016	8:20	2.298055451
8/3/2016	8:25	2.308121227
8/3/2016	8:30	2.318187003
8/3/2016	8:35	2.328252779
8/3/2016	8:40	2.338318555
8/3/2016	8:45	2.348384331
8/3/2016	8:50	2.358450107
8/3/2016	8:55	2.368515883
8/3/2016	9:00	2.378581659
8/3/2016	9:05	2.388647435
8/3/2016	9:10	2.398713211
8/3/2016	9:15	2.408778987
8/3/2016	9:20	2.418844763
8/3/2016	9:25	2.428910539
